wave,flux
3876.7082951176517,7678.134218635153
3876.718898791567,7856.378365750307
3876.729502494482,7233.912589216024
3876.7401062264003,6251.426336818141
3876.7507099873224,7536.1505546026165
3876.761313777252,8184.41540471185
3876.771917596181,7684.751942071249
3876.7825214441145,7594.867114582914
3876.793125321056,7618.1442188816145
3876.803729226997,7266.1208698924165
3876.814333161942,7497.809307417832
3876.8249371258917,5942.596590212081
3876.8355411188495,5161.1879408919485
3876.8461451408075,4544.608041186002
3876.8567491917697,3272.2509698421927
3876.8673532717407,2674.5451793677635
3876.877957380712,2942.6501093409024
3876.888561518688,2573.571993950056
3876.899165685669,3202.6766701502493
3876.9097698816586,4232.812161797658
3876.920374106649,4102.214895251556
3876.9309783606445,3938.5715423232177
3876.941582643645,4223.994754003128
3876.9521869556543,4333.036389996299
3876.9627912966653,4148.327882930171
3876.973395666681,3543.643661974347
3876.9840000657064,3284.0364864424337
3876.9946044937333,2091.667353117489
3877.005208950766,2510.884062158177
3877.0158134368035,3301.506843096809
3877.0264179518513,2972.2365466416813
3877.0370224959006,2798.329862634652
3877.0476270689555,3153.5386699803644
3877.0582316710206,3052.5132464934136
3877.0688363020877,3328.1614081726875
3877.079440962161,3381.319901817245
3877.09004565124,3157.3945556476247
3877.1006503693293,2715.199845077703
3877.111255116421,2327.2511493430943
3877.1218598925193,2224.7235930548045
3877.1324646976277,1870.2032949917486
3877.143069531739,1193.9905636785552
3877.153674394857,1715.5480787514246
3877.164279286981,1280.6360462494195
3877.1748842081165,1863.5075071854515
3877.1854891582543,2984.133249632782
3877.1960941373995,3775.2608186779544
3877.2066991455517,5062.49507060484
3877.2173041827145,5748.848258372396
3877.227909248881,6849.976888632868
3877.2385143440547,7091.680802291726
3877.2491194682393,6876.750210224651
3877.2597246214277,7938.524594108807
3877.2703298036236,8460.965203932254
3877.2809350148273,8060.819685403257
3877.291540255042,8912.907125377564
3877.302145524261,9188.30024191388
3877.3127508224875,9093.02319455077
3877.323356149726,8608.042530642124
3877.333961505968,8594.503633929882
